>>System Error :: Message => Invalid argument supplied for foreach() | ErrorNo => 2 | ErrorFile => C:\xampp\htdocs\framework\vendor\src\ozsa-src\Database\Database.php | ErrorLine  => 294 |  [ Time : 22:36 | Date : 20.02.2015 ] 
>>System Error :: Message => Invalid argument supplied for foreach() | ErrorNo => 2 | ErrorFile => C:\xampp\htdocs\framework\vendor\src\ozsa-src\Database\Database.php | ErrorLine  => 294 |  [ Time : 22:36 | Date : 20.02.2015 ] 
>>System Error :: Message => Object of class PDOStatement could not be converted to string | ErrorNo => 4096 | ErrorFile => C:\xampp\htdocs\framework\app\Views\index.php | ErrorLine  => 7 |  [ Time : 22:41 | Date : 20.02.2015 ] 
>>System Error :: Message => Missing argument 2 for Database::mixer(), called in C:\xampp\htdocs\framework\vendor\src\ozsa-src\Database\Database.php on line 380 and defined | ErrorNo => 2 | ErrorFile => C:\xampp\htdocs\framework\vendor\src\ozsa-src\Database\Database.php | ErrorLine  => 271 |  [ Time : 22:43 | Date : 20.02.2015 ] 
>>System Error :: Message => Undefined variable: end | ErrorNo => 8 | ErrorFile => C:\xampp\htdocs\framework\vendor\src\ozsa-src\Database\Database.php | ErrorLine  => 277 |  [ Time : 22:43 | Date : 20.02.2015 ] 
>>System Error :: Message => Undefined variable: end | ErrorNo => 8 | ErrorFile => C:\xampp\htdocs\framework\vendor\src\ozsa-src\Database\Database.php | ErrorLine  => 277 |  [ Time : 22:43 | Date : 20.02.2015 ] 
>>System Error :: Message => Undefined variable: end | ErrorNo => 8 | ErrorFile => C:\xampp\htdocs\framework\vendor\src\ozsa-src\Database\Database.php | ErrorLine  => 281 |  [ Time : 22:43 | Date : 20.02.2015 ] 
>>System Error :: Message => Trying to get property of non-object | ErrorNo => 8 | ErrorFile => C:\xampp\htdocs\framework\app\Views\index.php | ErrorLine  => 6 |  [ Time : 22:46 | Date : 20.02.2015 ] 
>>System Error :: Message => Trying to get property of non-object | ErrorNo => 8 | ErrorFile => C:\xampp\htdocs\framework\app\Views\index.php | ErrorLine  => 6 |  [ Time : 22:46 | Date : 20.02.2015 ] 
>>System Error :: Message => Trying to get property of non-object | ErrorNo => 8 | ErrorFile => C:\xampp\htdocs\framework\app\Views\index.php | ErrorLine  => 6 |  [ Time : 22:46 | Date : 20.02.2015 ] 
>>System Error :: Message => Trying to get property of non-object | ErrorNo => 8 | ErrorFile => C:\xampp\htdocs\framework\app\Views\index.php | ErrorLine  => 6 |  [ Time : 22:46 | Date : 20.02.2015 ] 
>>System Error :: Message => Trying to get property of non-object | ErrorNo => 8 | ErrorFile => C:\xampp\htdocs\framework\app\Views\index.php | ErrorLine  => 6 |  [ Time : 22:46 | Date : 20.02.2015 ] 
>>System Error :: Message => Undefined variable: argv | ErrorNo => 8 | ErrorFile => C:\xampp\htdocs\framework\app\Views\index.php | ErrorLine  => 3 |  [ Time : 00:26 | Date : 21.02.2015 ] 
>>System Error :: Message => Argument 3 passed to Http\Response::__construct() must be of the type array, string given, called in C:\xampp\htdocs\framework\vendor\src\ozsa-src\Desing\Singleaton.php on line 19 and defined | ErrorNo => 4096 | ErrorFile => C:\xampp\htdocs\framework\vendor\src\ozsa-src\Http\Response\Response.php | ErrorLine  => 15 |  [ Time : 10:26 | Date : 21.02.2015 ] 
>>System Error :: Message => Argument 3 passed to Http\Response\Factory\ResponseFactory::make() must be of the type array, string given, called in C:\xampp\htdocs\framework\vendor\src\ozsa-src\Http\Response\Response.php on line 23 and defined | ErrorNo => 4096 | ErrorFile => C:\xampp\htdocs\framework\vendor\src\ozsa-src\Http\Response\Factory\ResponseFactory.php | ErrorLine  => 21 |  [ Time : 10:26 | Date : 21.02.2015 ] 
>>System Error :: Message => Argument 1 passed to Symfony\Component\HttpFoundation\ResponseHeaderBag::__construct() must be of the type array, string given, called in C:\xampp\htdocs\framework\vendor\symfony\http-foundation\Symfony\Component\HttpFoundation\Response.php on line 201 and defined | ErrorNo => 4096 | ErrorFile => C:\xampp\htdocs\framework\vendor\symfony\http-foundation\Symfony\Component\HttpFoundation\ResponseHeaderBag.php | ErrorLine  => 51 |  [ Time : 10:26 | Date : 21.02.2015 ] 
>>System Error :: Message => Argument 1 passed to Symfony\Component\HttpFoundation\HeaderBag::__construct() must be of the type array, string given, called in C:\xampp\htdocs\framework\vendor\symfony\http-foundation\Symfony\Component\HttpFoundation\ResponseHeaderBag.php on line 53 and defined | ErrorNo => 4096 | ErrorFile => C:\xampp\htdocs\framework\vendor\symfony\http-foundation\Symfony\Component\HttpFoundation\HeaderBag.php | ErrorLine  => 33 |  [ Time : 10:26 | Date : 21.02.2015 ] 
>>System Error :: Message => Invalid argument supplied for foreach() | ErrorNo => 2 | ErrorFile => C:\xampp\htdocs\framework\vendor\symfony\http-foundation\Symfony\Component\HttpFoundation\HeaderBag.php | ErrorLine  => 35 |  [ Time : 10:26 | Date : 21.02.2015 ] 
>>System Error :: Message => Argument 3 passed to Http\Response::__construct() must be of the type array, string given, called in C:\xampp\htdocs\framework\vendor\src\ozsa-src\Desing\Singleaton.php on line 19 and defined | ErrorNo => 4096 | ErrorFile => C:\xampp\htdocs\framework\vendor\src\ozsa-src\Http\Response\Response.php | ErrorLine  => 15 |  [ Time : 10:26 | Date : 21.02.2015 ] 
>>System Error :: Message => Argument 3 passed to Http\Response\Factory\ResponseFactory::make() must be of the type array, string given, called in C:\xampp\htdocs\framework\vendor\src\ozsa-src\Http\Response\Response.php on line 23 and defined | ErrorNo => 4096 | ErrorFile => C:\xampp\htdocs\framework\vendor\src\ozsa-src\Http\Response\Factory\ResponseFactory.php | ErrorLine  => 21 |  [ Time : 10:26 | Date : 21.02.2015 ] 
>>System Error :: Message => Argument 1 passed to Symfony\Component\HttpFoundation\ResponseHeaderBag::__construct() must be of the type array, string given, called in C:\xampp\htdocs\framework\vendor\symfony\http-foundation\Symfony\Component\HttpFoundation\Response.php on line 201 and defined | ErrorNo => 4096 | ErrorFile => C:\xampp\htdocs\framework\vendor\symfony\http-foundation\Symfony\Component\HttpFoundation\ResponseHeaderBag.php | ErrorLine  => 51 |  [ Time : 10:26 | Date : 21.02.2015 ] 
>>System Error :: Message => Argument 1 passed to Symfony\Component\HttpFoundation\HeaderBag::__construct() must be of the type array, string given, called in C:\xampp\htdocs\framework\vendor\symfony\http-foundation\Symfony\Component\HttpFoundation\ResponseHeaderBag.php on line 53 and defined | ErrorNo => 4096 | ErrorFile => C:\xampp\htdocs\framework\vendor\symfony\http-foundation\Symfony\Component\HttpFoundation\HeaderBag.php | ErrorLine  => 33 |  [ Time : 10:26 | Date : 21.02.2015 ] 
>>System Error :: Message => Invalid argument supplied for foreach() | ErrorNo => 2 | ErrorFile => C:\xampp\htdocs\framework\vendor\symfony\http-foundation\Symfony\Component\HttpFoundation\HeaderBag.php | ErrorLine  => 35 |  [ Time : 10:26 | Date : 21.02.2015 ] 
